make,model,price,year,mileage,engine,extCol,intCol,trans,dtype,mpgCity,mpgHw,condition
Honda,HR-V,21991.0,2018,8490,4 Cyl,Red,Black,Automatic,AWD,27,31,Used
Honda,CR-V,22999.0,2019,5452,4 Cyl,Unspecified,Unspecified,Automatic,AWD,25,31,Used
Honda,Civic,17393.0,2016,32486,4 Cyl,Red,Black,Automatic,FWD,31,42,Used
Honda,CR-V,25999.0,2018,2234,4 Cyl,Red,Unspecified,Automatic,FWD,28,34,Used
Honda,Civic,17989.0,2017,16288,4 Cyl,Blue,Black,Automatic,FWD,31,40,Used
Honda,Pilot,27999.0,2017,25213,6 Cyl,Gray,Black,Automatic,FWD,19,27,Used
Honda,Civic,17000.0,2017,24950,4 Cyl,Blue,Unspecified,Automatic,FWD,31,40,Used
Honda,Civic,18981.0,2019,18255,4 Cyl,White,Black,Automatic,FWD,29,37,Used
Honda,Accord,27818.0,2018,16402,4 Cyl,Black,Tan,Automatic,FWD,23,34,Used
Honda,Civic,16491.0,2016,43017,4 Cyl,Silver,Black,Automatic,FWD,31,42,Used
Honda,Civic,9999.0,2015,86063,4 Cyl,Black,Black,Automatic,FWD,29,37,Used
Honda,Civic,15741.0,2016,48050,4 Cyl,Red,Black,Automatic,FWD,30,40,Used
Honda,Ridgeline,26000.0,2017,53474,6 Cyl,White,Black,Automatic,AWD,18,25,Used
Honda,Civic,18781.0,2018,18868,4 Cyl,Gray,Black,Automatic,FWD,32,42,Used
Honda,Civic,16991.0,2017,20229,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,Accord,16500.0,2017,25993,4 Cyl,Brown,Unspecified,Automatic,FWD,26,34,Used
Honda,Pilot,31658.0,2017,22010,6 Cyl,Black,Black,Automatic,FWD,19,27,Used
Honda,Pilot,15597.0,2011,101000,6 Cyl,White,Gray,Automatic,4WD,16,22,Used
Honda,Civic,20995.0,2018,12556,4 Cyl,Gray,Gray,Manual,FWD,28,38,Used
Honda,Accord,18481.0,2017,41723,4 Cyl,White,Black,Automatic,FWD,26,34,Used
Honda,HR-V,21000.0,2019,4868,4 Cyl,Silver,Gray,Automatic,FWD,28,34,Used
Honda,Fit,4927.0,2008,141262,4 Cyl,Silver,Gray,Automatic,FWD,27,33,Used
Honda,Civic,16500.0,2018,15814,4 Cyl,White,Unspecified,Automatic,FWD,31,40,Used
Honda,CR-V,23900.0,2017,28214,4 Cyl,Beige,Unspecified,Automatic,FWD,28,34,Used
Honda,Civic,20495.0,2018,9657,4 Cyl,Black,Black,Automatic,FWD,32,42,Used
Honda,Pilot,30842.0,2018,10801,6 Cyl,Green,Tan,Automatic,AWD,18,26,Used
Honda,Civic,20900.0,2018,16845,4 Cyl,White,Black,Manual,FWD,28,38,Used
Honda,Civic,16491.0,2017,20006,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,CR-V,15982.0,2014,50189,4 Cyl,Unspecified,Unspecified,Automatic,AWD,22,29,Used
Honda,Civic,16242.0,2018,38192,4 Cyl,Blue,Black,Automatic,FWD,31,40,Used
Honda,Civic,17217.0,2017,21867,4 Cyl,Gray,Black,Automatic,FWD,31,40,Used
Honda,Fit,12899.0,2016,33727,4 Cyl,Black,Black,Automatic,FWD,32,37,Used
Honda,Accord,20859.0,2017,11949,4 Cyl,Red,Black,Automatic,FWD,26,34,Used
Honda,Accord,21999.0,2017,29327,6 Cyl,Unspecified,Unspecified,Automatic,FWD,21,32,Used
Honda,CR-V,14988.0,2015,34536,4 Cyl,Red,Tan,Automatic,FWD,27,33,Used
Honda,Odyssey,4950.0,2004,135185,6 Cyl,Blue,Gray,Automatic,FWD,16,23,Used
Honda,Fit,13988.0,2018,44383,4 Cyl,White,Black,Automatic,FWD,31,36,Used
Honda,Civic,16981.0,2017,27566,4 Cyl,Black,Black,Automatic,FWD,31,40,Used
Honda,Accord,16981.0,2017,22428,4 Cyl,Black,Black,Automatic,FWD,26,34,Used
Honda,Accord,16900.0,2017,63796,4 Cyl,Blue,Unspecified,Automatic,FWD,26,34,Used
Honda,Accord,22918.0,2017,8164,6 Cyl,Beige,Tan,Automatic,FWD,21,32,Used
Honda,HR-V,20500.0,2018,22202,4 Cyl,White,Unspecified,Automatic,AWD,27,31,Used
Honda,Civic,20572.0,2018,19290,4 Cyl,Red,Black,Manual,FWD,28,38,Used
Honda,CR-V,16718.0,2016,47608,4 Cyl,Black,Black,Automatic,AWD,25,31,Used
Honda,Accord,26997.0,2019,3021,4 Cyl,White,Unspecified,Automatic,FWD,48,48,Used
Honda,Civic,17991.0,2018,10603,4 Cyl,Gray,Black,Automatic,FWD,31,40,Used
Honda,Accord,23486.0,2018,14328,4 Cyl,Blue,Black,Automatic,FWD,22,32,Used
Honda,Fit,12500.0,2017,85884,4 Cyl,White,Black,Automatic,FWD,32,37,Used
Honda,Civic,17991.0,2018,12832,4 Cyl,White,White,Automatic,FWD,31,40,Used
Honda,Pilot,20192.0,2016,113548,6 Cyl,Blue,Gray,Automatic,AWD,18,25,Used
Honda,Clarity,23232.0,2018,40544,4 Cyl,Gray,Black,Automatic,FWD,44,40,Used
Honda,Civic,17991.0,2018,12832,4 Cyl,White,White,Automatic,FWD,31,40,Used
Honda,Accord,21992.0,2017,22923,6 Cyl,Gray,Gray,Automatic,FWD,21,32,Used
Honda,Civic,19791.0,2018,15016,4 Cyl,Black,Black,Automatic,FWD,30,36,Used
Honda,Civic,19988.0,2018,20248,4 Cyl,Blue,Black,Automatic,FWD,32,42,Used
Honda,CR-V,8995.0,2013,190480,4 Cyl,Gray,Gray,Automatic,AWD,22,29,Used
Honda,CR-V,18918.0,2017,55265,4 Cyl,Silver,Unspecified,Automatic,FWD,28,34,Used
Honda,Civic,11988.0,2016,64553,4 Cyl,Gray,Gray,Automatic,FWD,30,40,Used
Honda,Pilot,15988.0,2012,105961,6 Cyl,Black,Black,Automatic,4WD,17,24,Used
Honda,Civic,15918.0,2017,39848,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,Accord,17392.0,2018,55237,4 Cyl,Gold,Tan,Automatic,FWD,29,35,Used
Honda,Civic,15691.0,2016,36337,4 Cyl,Gray,Unspecified,Automatic,FWD,31,42,Used
Honda,CR-V,27990.0,2018,26363,4 Cyl,White,Tan,Automatic,AWD,27,33,Used
Honda,CR-V,18588.0,2016,36223,4 Cyl,Gray,Gray,Automatic,FWD,26,32,Used
Honda,Civic,4995.0,2009,147578,4 Cyl,Blue,Gray,Automatic,FWD,40,45,Used
Honda,Accord,16499.0,2017,22460,4 Cyl,Silver,Black,Automatic,FWD,26,34,Used
Honda,Civic,17599.0,2016,24060,4 Cyl,Silver,Unspecified,Automatic,FWD,30,40,Used
Honda,Civic,19991.0,2018,11759,4 Cyl,Black,Black,Automatic,FWD,31,40,Used
Honda,Accord,20991.0,2016,24635,6 Cyl,Gray,Gray,Automatic,FWD,21,33,Used
Honda,Civic,18995.0,2016,17814,4 Cyl,Silver,Black,Automatic,FWD,31,41,Used
Honda,Accord,19192.0,2018,24853,4 Cyl,Gray,Black,Automatic,FWD,29,35,Used
Honda,CR-V,25329.0,2017,34944,4 Cyl,Unspecified,Unspecified,Automatic,AWD,27,33,Used
Honda,Accord,19918.0,2016,32871,4 Cyl,Silver,Unspecified,Automatic,FWD,26,34,Used
Honda,Civic,15900.0,2017,27828,4 Cyl,Silver,Unspecified,Automatic,FWD,31,40,Used
Honda,Pilot,28999.0,2016,48841,6 Cyl,Gray,Unspecified,Automatic,AWD,18,25,Used
Honda,CR-V,19900.0,2017,63673,4 Cyl,Blue,Gray,Automatic,FWD,28,34,Used
Honda,Pilot,29918.0,2016,20709,6 Cyl,Silver,Unspecified,Automatic,AWD,18,25,Used
Honda,Pilot,32000.0,2018,14178,6 Cyl,Green,Tan,Automatic,AWD,18,26,Used
Honda,Civic,15988.0,2018,43761,4 Cyl,Gray,Gray,Automatic,FWD,31,40,Used
Honda,Accord,13981.0,2015,57662,4 Cyl,Black,Black,Automatic,FWD,26,34,Used
Honda,Pilot,34918.0,2017,12743,6 Cyl,White,Unspecified,Automatic,AWD,18,26,Used
Honda,Fit,14488.0,2015,20039,4 Cyl,Gray,Unspecified,Automatic,FWD,32,37,Used
Honda,CR-V,19397.0,2017,48458,4 Cyl,Gray,Unspecified,Automatic,FWD,28,34,Used
Honda,Civic,13989.0,2017,84328,4 Cyl,Blue,Unspecified,Automatic,FWD,31,40,Used
Honda,Civic,18690.0,2018,11322,4 Cyl,Silver,Black,Automatic,FWD,30,36,Used
Honda,Civic,19947.0,2018,31890,4 Cyl,Silver,Black,Manual,FWD,28,38,Used
Honda,Pilot,27991.0,2016,35865,6 Cyl,Black,Gray,Automatic,AWD,18,25,Used
Honda,CR-V,21991.0,2016,29795,4 Cyl,Red,Tan,Automatic,AWD,25,31,Used
Honda,Fit,15991.0,2019,24819,4 Cyl,Black,Unspecified,Automatic,FWD,31,36,Used
Honda,Ridgeline,33991.0,2017,30826,6 Cyl,Black,Black,Automatic,AWD,18,25,Used
Honda,Civic,19991.0,2018,13810,4 Cyl,Gray,Black,Automatic,FWD,31,40,Used
Honda,CR-V,19777.0,2018,54567,4 Cyl,Silver,Black,Automatic,FWD,28,34,Used
Honda,Ridgeline,26900.0,2017,52239,6 Cyl,Gray,Black,Automatic,AWD,18,25,Used
Honda,Civic,19990.0,2018,7892,4 Cyl,Red,Tan,Automatic,FWD,31,40,Used
Honda,Civic,18500.0,2017,44118,4 Cyl,White,Black,Automatic,FWD,31,40,Used
Honda,CR-V,23888.0,2017,28770,4 Cyl,Gray,Gray,Automatic,FWD,28,34,Used
Honda,CR-V,20999.0,2016,6701,4 Cyl,Gray,Gray,Automatic,FWD,26,32,Used
Honda,Ridgeline,34497.0,2017,15468,6 Cyl,Black,Black,Automatic,AWD,18,25,Used
Honda,Civic,15500.0,2017,29465,4 Cyl,Red,Unspecified,Automatic,FWD,31,40,Used
Honda,Odyssey,9995.0,2010,91890,6 Cyl,Gray,Gray,Automatic,FWD,16,23,Used
Honda,Fit,10742.0,2017,63853,4 Cyl,Silver,Black,Manual,FWD,29,36,Used
Honda,Pilot,30544.0,2018,28863,6 Cyl,White,Black,Automatic,AWD,18,26,Used
Honda,CR-V,21981.0,2019,14016,4 Cyl,Gray,Black,Automatic,FWD,26,32,Used
Honda,Civic,19981.0,2019,8932,4 Cyl,Black,Black,Automatic,FWD,30,36,Used
Honda,CR-V,20593.0,2018,22979,4 Cyl,Gray,Black,Automatic,FWD,26,32,Used
Honda,Civic,17257.0,2019,11865,4 Cyl,Blue,Black,Automatic,FWD,29,37,Used
Honda,Odyssey,18198.0,2016,73535,6 Cyl,White,Gray,Automatic,FWD,19,27,Used
Honda,Civic,8450.0,2013,102937,4 Cyl,Black,Black,Automatic,FWD,28,39,Used
Honda,Civic,19897.0,2017,22744,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,Accord,5699.0,2003,98634,6 Cyl,Gold,Tan,Automatic,FWD,19,27,Used
Honda,Accord,19798.0,2017,46336,4 Cyl,Silver,Black,Automatic,FWD,49,47,Used
Honda,CR-V,19988.0,2016,34439,4 Cyl,White,Unspecified,Automatic,AWD,25,31,Used
Honda,Civic,10795.0,2014,60163,4 Cyl,Red,Tan,Automatic,FWD,29,37,Used
Honda,HR-V,16750.0,2017,19453,4 Cyl,Blue,Tan,Automatic,FWD,28,34,Used
Honda,CR-V,10881.0,2014,135861,4 Cyl,Blue,Tan,Automatic,FWD,23,30,Used
Honda,Ridgeline,29988.0,2018,33288,6 Cyl,White,Black,Automatic,AWD,18,25,Used
Honda,CR-V,22994.0,2018,16641,4 Cyl,Unspecified,Unspecified,Automatic,FWD,28,34,Used
Honda,CR-V,16488.0,2016,30239,4 Cyl,Gray,Gray,Automatic,FWD,26,32,Used
Honda,Accord,11988.0,2012,99954,6 Cyl,Unspecified,Unspecified,Automatic,FWD,20,30,Used
Honda,Ridgeline,18981.0,2013,63981,6 Cyl,White,Black,Automatic,4WD,16,21,Used
Honda,Civic,20981.0,2018,14039,4 Cyl,Black,Black,Automatic,FWD,32,42,Used
Honda,Pilot,25981.0,2017,23649,6 Cyl,Gray,Gray,Automatic,FWD,19,27,Used
Honda,Pilot,31981.0,2019,13278,6 Cyl,Gray,Gray,Automatic,FWD,19,27,Used
Honda,Accord,16688.0,2017,63241,4 Cyl,Blue,Black,Automatic,FWD,26,34,Used
Honda,Civic,18922.0,2018,32591,4 Cyl,Unspecified,Unspecified,Manual,FWD,29,38,Used
Honda,Accord,16688.0,2017,63241,4 Cyl,Blue,Black,Automatic,FWD,26,34,Used
Honda,Civic,18922.0,2018,32591,4 Cyl,Unspecified,Unspecified,Manual,FWD,29,38,Used
Honda,CR-V,15488.0,2014,55552,4 Cyl,Unspecified,Unspecified,Automatic,FWD,23,30,Used
Honda,Civic,5488.0,2009,240685,4 Cyl,Gray,Black,Manual,FWD,21,29,Used
Honda,CR-V,15495.0,2014,96103,4 Cyl,Red,Gray,Automatic,AWD,22,29,Used
Honda,CR-V,30890.0,2018,3783,4 Cyl,Gray,Gray,Automatic,AWD,27,33,Used
Honda,Accord,14989.0,2017,38762,4 Cyl,Red,Black,Automatic,FWD,26,34,Used
Honda,Civic,17369.0,2017,16715,4 Cyl,Gray,Black,Automatic,FWD,31,40,Used
Honda,Accord,26991.0,2019,10898,4 Cyl,Gray,Black,Automatic,FWD,22,32,Used
Honda,Civic,16648.0,2018,15869,4 Cyl,Black,Black,Automatic,FWD,32,42,Used
Honda,Accord,6988.0,2008,128730,4 Cyl,Red,White,Automatic,FWD,21,31,Used
Honda,Accord,20629.0,2018,21038,4 Cyl,Silver,Black,Automatic,FWD,29,35,Used
Honda,Civic,21498.0,2018,6063,4 Cyl,Blue,Black,Automatic,FWD,32,42,Used
Honda,Accord,19989.0,2017,35165,4 Cyl,Gray,Black,Automatic,FWD,26,34,Used
Honda,Accord,4450.0,2002,118300,4 Cyl,Silver,Gray,Automatic,FWD,20,28,Used
Honda,Accord,23432.0,2018,37384,4 Cyl,White,Black,Automatic,FWD,29,35,Used
Honda,Accord,24400.0,2017,23528,6 Cyl,Black,Black,Automatic,FWD,21,32,Used
Honda,Pilot,24900.0,2016,53318,6 Cyl,Blue,Tan,Automatic,AWD,18,25,Used
Honda,Pilot,19788.0,2014,44847,6 Cyl,Gray,Gray,Automatic,FWD,18,25,Used
Honda,Fit,15988.0,2019,20638,4 Cyl,Red,Black,Automatic,FWD,31,36,Used
Honda,CR-V,13292.0,2012,78514,4 Cyl,Red,Gray,Automatic,FWD,23,30,Used
Honda,Civic,14481.0,2017,33569,4 Cyl,Gray,Black,Automatic,FWD,31,40,Used
Honda,Accord,15981.0,2017,30268,4 Cyl,Silver,Gray,Automatic,FWD,26,34,Used
Honda,Accord,17981.0,2017,39868,4 Cyl,White,Black,Automatic,FWD,26,34,Used
Honda,CR-V,6990.0,2007,195149,4 Cyl,Blue,Gray,Automatic,4WD,19,26,Used
Honda,Accord,15981.0,2017,30268,4 Cyl,Silver,Gray,Automatic,FWD,26,34,Used
Honda,Ridgeline,29850.0,2017,35710,6 Cyl,White,Tan,Automatic,AWD,18,25,Used
Honda,Civic,13995.0,2016,49563,4 Cyl,White,Tan,Automatic,FWD,30,40,Used
Honda,HR-V,19355.0,2018,16310,4 Cyl,Silver,Gray,Automatic,AWD,27,31,Used
Honda,CR-V,26486.0,2018,12438,4 Cyl,Silver,Gray,Automatic,AWD,27,33,Used
Honda,Civic,18981.0,2019,5191,4 Cyl,Silver,Black,Automatic,FWD,29,37,Used
Honda,Pilot,26981.0,2018,30010,6 Cyl,White,Tan,Automatic,FWD,19,27,Used
Honda,Civic,16999.0,2018,21897,4 Cyl,Gray,Gray,Automatic,FWD,31,40,Used
Honda,CR-V,28944.0,2018,15285,4 Cyl,White,Black,Automatic,AWD,27,33,Used
Honda,Ridgeline,34995.0,2019,2772,6 Cyl,Red,Tan,Automatic,AWD,18,25,Used
Honda,Civic,17500.0,2018,44102,4 Cyl,Red,Unspecified,Automatic,FWD,31,40,Used
Honda,Civic,18900.0,2019,5577,4 Cyl,White,Unspecified,Automatic,FWD,29,37,Used
Honda,Accord,16900.0,2017,39776,4 Cyl,Silver,Unspecified,Automatic,FWD,26,34,Used
Honda,Accord,19500.0,2018,35375,4 Cyl,Black,Unspecified,Automatic,FWD,29,35,Used
Honda,Pilot,12250.0,2010,130300,6 Cyl,Red,Black,Automatic,FWD,17,23,Used
Honda,Ridgeline,10995.0,2007,121960,6 Cyl,Green,Gray,Automatic,4WD,15,20,Used
Honda,Accord,13995.0,2017,15703,4 Cyl,Silver,Gray,Automatic,FWD,26,34,Used
Honda,CR-V,23499.0,2017,21067,4 Cyl,Black,Black,Automatic,FWD,28,34,Used
Honda,Odyssey,6527.0,2005,69872,6 Cyl,Blue,Unspecified,Automatic,FWD,17,23,Used
Honda,Accord,19988.0,2018,16372,4 Cyl,Red,White,Automatic,FWD,29,35,Used
Honda,Ridgeline,27997.0,2017,54852,6 Cyl,Gray,Unspecified,Automatic,AWD,18,25,Used
Honda,Civic,15350.0,2017,31152,4 Cyl,Gray,Unspecified,Automatic,FWD,30,39,Used
Honda,Pilot,32967.0,2017,27971,6 Cyl,Unspecified,Unspecified,Automatic,FWD,19,27,Used
Honda,HR-V,16499.0,2017,57218,4 Cyl,Purple,Black,Automatic,FWD,28,34,Used
Honda,CR-V,22550.0,2017,20625,4 Cyl,Gray,Gray,Automatic,FWD,28,34,Used
Honda,Civic,17991.0,2018,22488,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,Civic,18991.0,2017,17606,4 Cyl,Red,Black,Automatic,FWD,31,40,Used
Honda,CR-V,22550.0,2017,20625,4 Cyl,Gray,Gray,Automatic,FWD,28,34,Used
Honda,Accord,18242.0,2017,25168,4 Cyl,Black,Black,Automatic,FWD,26,34,Used
Honda,Civic,17077.0,2017,34471,4 Cyl,Blue,Black,Automatic,FWD,31,40,Used
Honda,Civic,20998.0,2018,30351,4 Cyl,Silver,Black,Automatic,FWD,32,42,Used
Honda,Accord,19862.0,2017,41489,4 Cyl,Gold,Unspecified,Automatic,FWD,26,34,Used
Honda,CR-V,17555.0,2016,26788,4 Cyl,Gray,Gray,Automatic,FWD,26,32,Used
Honda,Odyssey,22876.0,2016,15384,6 Cyl,Red,Red,Automatic,FWD,19,27,Used
Honda,Civic,16500.0,2017,23664,4 Cyl,Gray,Unspecified,Automatic,FWD,31,40,Used
Honda,Odyssey,11398.0,2014,125287,6 Cyl,Blue,Gray,Automatic,FWD,19,27,Used
Honda,Accord,7499.0,2009,107000,4 Cyl,White,Tan,Automatic,FWD,21,30,Used
Honda,Accord,17717.0,2017,33219,4 Cyl,Red,White,Automatic,FWD,26,34,Used
Honda,Civic,9990.0,2015,87818,4 Cyl,Silver,Gray,Automatic,FWD,29,37,Used
Honda,Civic,17597.0,2018,32000,4 Cyl,Gray,Black,Automatic,FWD,31,40,Used
Honda,Accord,16988.0,2017,34249,4 Cyl,Gray,Black,Automatic,FWD,26,34,Used
Honda,Pilot,10699.0,2010,106325,6 Cyl,Blue,Gray,Automatic,4WD,16,22,Used
Honda,Civic,10981.0,2017,115733,4 Cyl,Black,Black,Automatic,FWD,31,40,Used
Honda,CR-V,19988.0,2016,33603,4 Cyl,Unspecified,Unspecified,Automatic,AWD,25,31,Used
Honda,Pilot,34743.0,2018,12526,6 Cyl,Silver,Gray,Automatic,AWD,18,26,Used
Honda,Fit,15518.0,2018,55984,4 Cyl,Black,Unspecified,Automatic,FWD,31,36,Used
Honda,Civic,15593.0,2018,36969,4 Cyl,Blue,Black,Automatic,FWD,31,40,Used
Honda,Accord,9500.0,2010,92071,4 Cyl,Burgundy,Tan,Automatic,FWD,21,31,Used
Honda,Pilot,25991.0,2018,32783,6 Cyl,Gray,Gray,Automatic,FWD,19,27,Used
Honda,Odyssey,33843.0,2017,25055,6 Cyl,Red,Tan,Automatic,FWD,19,27,Used
Honda,Civic,19887.0,2018,14681,4 Cyl,Blue,Black,Automatic,FWD,31,40,Used
Honda,Pilot,9250.0,2008,123855,6 Cyl,White,Tan,Automatic,4WD,15,20,Used
Honda,Pilot,5856.0,2006,156832,6 Cyl,Unspecified,Gray,Automatic,FWD,16,22,Used
Honda,Accord,26288.0,2018,10723,4 Cyl,Black,Black,Automatic,FWD,29,35,Used
Honda,HR-V,19888.0,2018,29169,4 Cyl,Gray,Gray,Automatic,AWD,27,31,Used
Honda,HR-V,17991.0,2018,18446,4 Cyl,Gray,Black,Automatic,FWD,28,34,Used
Honda,CR-V,17991.0,2016,35920,4 Cyl,White,Tan,Automatic,AWD,25,31,Used
Honda,Odyssey,24991.0,2016,34409,6 Cyl,Brown,Tan,Automatic,FWD,19,27,Used
Honda,Ridgeline,30991.0,2018,17668,6 Cyl,Silver,Black,Automatic,AWD,18,25,Used
Honda,Ridgeline,30900.0,2017,33515,6 Cyl,Black,Black,Automatic,AWD,18,25,Used
Honda,Accord,10990.0,2016,154624,4 Cyl,Black,Black,Automatic,FWD,26,34,Used
Honda,Pilot,16995.0,2015,75440,6 Cyl,Gray,Gray,Automatic,FWD,18,25,Used
Honda,CR-V,14995.0,2015,32089,4 Cyl,Green,Tan,Automatic,FWD,27,33,Used
Honda,CR-V,6595.0,2006,146696,4 Cyl,Silver,Black,Automatic,4WD,20,25,Used
Honda,Odyssey,6995.0,2010,176051,6 Cyl,Silver,Gray,Automatic,FWD,16,23,Used
Honda,Civic,10999.0,2015,105000,4 Cyl,Black,Black,Automatic,FWD,29,37,Used
Honda,CR-V,19491.0,2016,33992,4 Cyl,Silver,Black,Automatic,FWD,26,32,Used
Honda,Fit,14991.0,2017,24648,4 Cyl,Silver,Black,Automatic,FWD,32,37,Used
Honda,Civic,18991.0,2017,16602,4 Cyl,White,White,Automatic,FWD,31,40,Used
Honda,Civic,20991.0,2017,8933,4 Cyl,Silver,Unspecified,Automatic,FWD,31,40,Used
Honda,Accord,18555.0,2017,46316,4 Cyl,Black,White,Automatic,FWD,26,34,Used
Honda,Civic,17481.0,2018,15376,4 Cyl,Gray,Gray,Automatic,FWD,30,39,Used
Honda,Accord,5999.0,2009,142668,4 Cyl,Black,Gray,Automatic,FWD,21,30,Used
Honda,Accord,6500.0,2005,89120,4 Cyl,Black,Tan,Manual,FWD,23,31,Used
Honda,Pilot,4995.0,2004,157615,6 Cyl,Green,Gray,Automatic,4WD,15,21,Used
Honda,Odyssey,10999.0,2011,126187,6 Cyl,Black,Gray,Automatic,FWD,18,27,Used
Honda,HR-V,17491.0,2016,30563,4 Cyl,Silver,Black,Automatic,FWD,28,34,Used
Honda,Accord,12997.0,2013,86000,4 Cyl,White,Tan,Automatic,FWD,26,34,Used
Honda,Ridgeline,12750.0,2008,102251,6 Cyl,Silver,Gray,Automatic,4WD,15,20,Used
Honda,Accord,22990.0,2019,17574,4 Cyl,Black,Red,Automatic,FWD,29,35,Used
Honda,Accord,21415.0,2016,41842,6 Cyl,Gray,Black,Automatic,FWD,21,33,Used
Honda,Civic,19995.0,2018,5691,4 Cyl,Red,Black,Automatic,FWD,31,40,Used
Honda,Accord,23788.0,2018,26182,4 Cyl,White,Black,Automatic,FWD,29,35,Used
Honda,Civic,17488.0,2017,2510,4 Cyl,Purple,Unspecified,Automatic,FWD,31,40,Used
Honda,Civic,15990.0,2017,39676,4 Cyl,Purple,Gray,Automatic,FWD,31,40,Used
Honda,Pilot,8995.0,2010,159570,6 Cyl,White,Black,Automatic,4WD,16,22,Used
Honda,CR-V,26588.0,2018,17367,4 Cyl,Gray,White,Automatic,FWD,28,34,Used
Honda,Civic,17988.0,2017,32060,4 Cyl,Blue,Gray,Automatic,FWD,31,40,Used
Honda,CR-V,22722.0,2016,18033,4 Cyl,Gray,Unspecified,Automatic,FWD,26,32,Used
Honda,Accord,21999.0,2019,1739,4 Cyl,White,White,Automatic,FWD,29,35,Used
Honda,Civic,8500.0,2011,118172,4 Cyl,Gray,Black,Automatic,FWD,25,35,Used
Honda,Odyssey,9495.0,2010,145090,6 Cyl,Gray,Gray,Automatic,FWD,16,23,Used
